SPECIES_WURMPLE			SCATTERBUG
SPECIES_POOCHYENA		POOCHYENA
SPECIES_ZIGZAGOON		FIDOUGH
SPECIES_LOTAD			DEWPIDER
SPECIES_RALTS			GOTHITA
SPECIES_SEEDOT			SMOLIV
SPECIES_MARILL			WIGLETT (LAND), DUCKLETT (HALF SURF)
SPECIES_GOLDEEN			WISHIWASHI
SPECIES_MAGIKARP		MAGIKARP
SPECIES_CORPHISH		KRABBY
SPECIES_WINGULL			POLIWAG/PONYTA_GALAR (LAND), POLIWAG/CLAUNCHER (SURF)
SPECIES_TENTACOOL		FRILLISH/FINNEON/HORSEA
SPECIES_PELIPPER		POLIWIRL/CLAUNCHER
SPECIES_WAILMER			FINIZEN (SOMETIMES)
SPECIES_SHARPEDO		LOMBRE (SOME)
SPECIES_TAILLOW			STARLY
SPECIES_ELECTRIKE		MAREEP (RARE HALF)
SPECIES_GULPIN			WOOPER_PALDEA
SPECIES_MINUN			PLUSLE
SPECIES_ODDISH			ODDISH
SPECIES_PLUSLE			CHATOT
SPECIES_SANDSHREW		SANDSHREW
SPECIES_TRAPINCH		SANDILE
SPECIES_BALTOY			HIPPOPOTAS
SPECIES_CACNEA			CACNEA
SPECIES_GEODUDE			ROGGENROLA/BOLDORE (SOME)
SPECIES_BARBOACH		BARBOACH
SPECIES_NUMEL			LITLEO (SOME)
SPECIES_SPINDA			TANDEMAUS
SPECIES_SLUGMA			SLUGMA
SPECIES_SKARMORY		SKARMORY
SPECIES_SWABLU			SWABLU
SPECIES_LOMBRE			MUDKIP (ONE)
SPECIES_SEVIPER			SALANDIT
SPECIES_NUZLEAF			NUZLEAF
SPECIES_WHISMUR			GOOMY (SOME)
SPECIES_NINCADA			JOLTIK
SPECIES_ABRA			ABRA
SPECIES_SKITTY			SKITTY
SPECIES_ILLUMISE		BELLSPROUT
SPECIES_VOLBEAT			SPRIGATITO
SPECIES_LINOONE			DACHSBUN
SPECIES_MANECTRIC		FLAAFY
SPECIES_KECLEON			TOGEPI
SPECIES_CARVANHA		CARVANHA
SPECIES_SHROOMISH		SHROOMISH
SPECIES_SILCOON			SPEWPA_JUNGLE
SPECIES_CASCOON			SPEWPA_ELEGANT
SPECIES_SLAKOTH			PARAS
SPECIES_ZUBAT			SCRAGGY (LAND), WOOBAT (SURF)
SPECIES_MAKUHITA		GASTLY
SPECIES_ARON			ARON
SPECIES_SABLEYE			ESPURR
SPECIES_SHUPPET			YAMASK
SPECIES_GOLBAT			SWOOBAT
SPECIES_HARIYAMA		HAUNTER
SPECIES_LAIRON			LAIRON
SPECIES_LOUDRED			CHANSEY
SPECIES_GIRAFARIG		HITMONLEE/CHAN
SPECIES_NATU			NATU
SPECIES_DODUO			SINISTEA/POLTCHAGEIST
SPECIES_GLOOM			GLOOM
SPECIES_WOBBUFFET		POIPOLE
SPECIES_PIKACHU			PIKACHU
SPECIES_CLAMPERL		TIRTOUGA
SPECIES_CHINCHOU		CHINCHOU
SPECIES_RELICANTH		SHELLOS_EAST_SEA
SPECIES_TENTACRUEL		OCTILLERY
SPECIES_NOSEPASS		NOSEPASS
SPECIES_KOFFING			KOFFING
SPECIES_MACHOP			MANKEY
SPECIES_TORKOAL			GROWLITHE_HISUI
SPECIES_GRIMER			GRIMER
SPECIES_BAGON			BAGON
SPECIES_SOLROCK			OMANYTE/KABUTO
SPECIES_WHISCASH		WHISCASH
SPECIES_SPOINK			SPOINK
SPECIES_SWELLOW			STARAVIA
SPECIES_JIGGLYPUFF		JIGGLYPUFF
SPECIES_VOLTORB			VOLTORB_HISUI
SPECIES_MAGNEMITE		MAGNEMITE
SPECIES_ELECTRODE		ELECTRODE_HISUI
SPECIES_MAGNETON		MAGNETON
SPECIES_TROPIUS			STANTLER
SPECIES_MIGHTYENA		MIGHTYENA
SPECIES_ABSOL			ABSOL
SPECIES_DUSKULL			HONEDGE
SPECIES_VULPIX			VULPIX
SPECIES_CHIMECHO		CHIMECHO
SPECIES_LUVDISC			LUVDISC
SPECIES_CORSOLA			CORSOLA
SPECIES_WAILORD			WAILORD
SPECIES_WYNAUT			WYNAUT (NONE?)
SPECIES_HORSEA			HORSEA
SPECIES_PSYDUCK			SLOWPOKE
SPECIES_SEAKING			VELUZA
SPECIES_PHANPY			PHANPY
SPECIES_XATU			XATU
SPECIES_HERACROSS		HERACROSS
SPECIES_RHYHORN			LUXIO
SPECIES_DODRIO			POULTEAGEIST/SINISTCHA			
SPECIES_PINSIR			SCYTHER
SPECIES_GOLDUCK			SLOWBRO
SPECIES_MAWILE			MAWILE
SPECIES_GRAVELER		BOLDORE (SOME)
SPECIES_SPHEAL			SPHEAL
SPECIES_STARYU			STARYU
